"Aspek","Betweenness","Closeness","Flow_Potential","Bottleneck_Score"
"Intraception",0.406593406593407,23.0618008826846,9.37677618306958,1.28552450815626
"Aggression",0,10.3650071640575,0,1.1919399883049
"Achievement",0,12.057452621533,0,0.748228876298853
"Heterosexuality",0.0549450549450549,14.5058251045197,0.797023357391193,0.568811268386819
"Affiliation",0,13.091615933034,0,0.477100639394613
"Dominance",0.21978021978022,20.4046317985954,4.48453446122976,0.409740030988671
"Exhibition",0.120879120879121,18.6692344258797,2.25672064488656,0.0322549487305832
"Autonomy",0,14.9339063809011,0,-0.0058955715914385
"Abasement",0.21978021978022,22.0002998601019,4.83523073848393,-0.00859879750134751
"Change",0.0989010989010989,19.5167519941784,1.93022821920446,-0.374930514317698
