"Aspek","P10","P25","P50","P75","P90"
"Achievement",12,14,16,19,21
"Deference",10,12,14,17,19
"Order",11,14,18,21,23
"Exhibition",9,11,13,15,17
"Autonomy",6,8,11,13,15
"Affiliation",8,11,13,16,18
"Intraception",12,15,17,20,22
"Succorance",6,8,11,15,17
"Dominance",10,12,14,17,21
"Abasement",12,14,17,20,22
"Nurturance",11,14,16,19,22
"Change",10,12,15,17,20
"Endurance",13,15,18,21,24
"Heterosexuality",0,2,4,8,12
"Aggression",4,6,9,13,16
