"","Strength","Betweenness","Closeness","Eigenvector","PageRank","Expected_Influence"
"Strength",1,-0.718882243870103,-0.551204212924445,0.991708497260779,0.999784660359619,-0.540276049563309
"Betweenness",-0.718882243870103,1,0.673072059404961,-0.728769574583921,-0.717090968733527,0.169740785650776
"Closeness",-0.551204212924445,0.673072059404961,1,-0.550375705323886,-0.552906553244572,0.148973705742738
"Eigenvector",0.991708497260779,-0.728769574583921,-0.550375705323886,1,0.989006224842597,-0.489808276130141
"PageRank",0.999784660359619,-0.717090968733527,-0.552906553244572,0.989006224842597,1,-0.549042393260746
"Expected_Influence",-0.540276049563309,0.169740785650776,0.148973705742738,-0.489808276130141,-0.549042393260746,1
