"Community","Size","Members"
1,10,"Achievement, Deference, Order, Autonomy, Intraception, Succorance, Change, Endurance, Heterosexuality, Aggression"
2,5,"Exhibition, Affiliation, Dominance, Abasement, Nurturance"
