"Aspek","X","Y","Z","Strength","Community"
"Achievement",0.0738586742485884,0.241066443183175,-0.0104973923727628,2.45355850201786,1
"Deference",0.0757210840805511,0.00631814355191159,0.23098866606338,1.90280727529131,1
"Order",0.304350121606702,0.0357487284294283,0.188154911604452,3.00578401347049,1
"Exhibition",-0.151984694278728,-0.323474169321095,-0.0546267921462867,1.48217247875152,2
"Autonomy",0.138428323283655,-0.345977219717546,0.0723006260117489,2.18067120359955,1
"Affiliation",-0.0858014219551023,0.0413874149108568,0.315392184491734,1.95852346264679,2
"Intraception",-0.0270821078891785,-0.111454267227166,-0.538859113461489,1.01925863930748,1
"Succorance",0.0433976335134571,0.468907686845369,-0.138659583148498,2.23434987353162,1
"Dominance",-0.470224137121206,0.232132268681449,0.066186121744469,1.69581629769388,2
"Abasement",-0.413822451625243,-0.120987431063809,-0.0887184177057802,1.68667052093029,2
"Nurturance",-0.297343717332284,-0.163647072810179,0.184608710802632,2.41880965727916,2
"Change",-0.0573427029137625,0.189718678816177,-0.0766787514996404,1.2384475964439,1
"Endurance",0.379903805045175,0.0599148304599312,0.000973083288486301,2.78738233496749,1
"Heterosexuality",0.2199119777695,-0.0932668225757725,-0.230348357053605,2.68366183969119,1
"Aggression",0.268029613567876,-0.116387212162732,0.0797841033811597,2.96316380014376,1
