"Aspek","Strength","Betweenness","Closeness","Eigenvector","PageRank","Authority"
"Achievement",0.551135973868874,-0.66596557284819,-1.41419444914704,0.618367711810855,0.536819482993442,0.618367711810853
"Deference",-0.342975169361674,-0.66596557284819,0.461977099790313,-0.221836805318081,-0.361681930399782,-0.221836805318082
"Order",1.44764052874865,-0.66596557284819,0.13261056866433,1.40720997493454,1.44430180204509,1.40720997493454
"Exhibition",-1.02585019635362,0.351481830114322,0.31922688138374,-1.01355113646729,-1.02024344318994,-1.01355113646729
"Autonomy",0.108120030332834,-0.66596557284819,-0.66007000125675,0.222533737716099,0.0970447013457399,0.222533737716099
"Affiliation",-0.252523325488457,-0.66596557284819,-1.1430662122428,-0.218108685916437,-0.258522982020856,-0.218108685916437
"Intraception",-1.77736267988014,2.7563575098439,1.47083300168764,-1.66061409434194,-1.7948366443044,-1.66061409434194
"Succorance",0.19526408850466,-0.388479917494777,0.0428018359346191,0.151403034820183,0.21570721263376,0.151403034820183
"Dominance",-0.679012441067902,1.18393879617456,0.774198765185889,-0.849687493123284,-0.659330871592853,-0.849687493123284
"Abasement",-0.693860053784859,1.18393879617456,1.19253759367591,-0.88534040568503,-0.663367379278309,-0.885340405685029
"Nurturance",0.494723336388387,-0.66596557284819,-0.244367041130288,0.220388487642848,0.531240562127117,0.220388487642848
"Change",-1.42152272975677,0.166491393212047,0.541421907529746,-1.34060797245987,-1.43580102393861,-1.34060797245987
"Endurance",1.09307867763772,-0.388479917494777,1.15629636005711,1.27019290987662,1.05294771904816,1.27019290987662
"Heterosexuality",0.924694757443603,-0.203489480592502,-0.772300748979321,0.957412793370713,0.932709077043859,0.957412793370713
"Aggression",1.3784492027687,-0.66596557284819,-1.85790556115309,1.34223794314006,1.38301371748759,1.34223794314006
