"Node_Removed","Components_After","Largest_Component_Size","Avg_Path_Length","Fragmentation"
"Achievement",1,14,NA,0
"Deference",1,14,NA,0
"Order",1,14,NA,0
"Exhibition",1,14,NA,0
"Autonomy",1,14,NA,0
"Affiliation",1,14,NA,0
"Intraception",1,14,NA,0
"Succorance",1,14,NA,0
"Dominance",1,14,NA,0
"Abasement",1,14,NA,0
"Nurturance",1,14,NA,0
"Change",1,14,NA,0
"Endurance",1,14,NA,0
"Heterosexuality",1,14,NA,0
"Aggression",1,14,NA,0
