"From","To","Weight"
"Abasement","Affiliation",-0.0643291212322914
"Affiliation","Abasement",-0.0643291212322914
"Abasement","Deference",-0.0583699387622135
"Deference","Abasement",-0.0583699387622135
"Aggression","Dominance",0.0553157793427424
"Dominance","Aggression",0.0553157793427424
"Succorance","Autonomy",-0.0519740587201468
"Autonomy","Succorance",-0.0519740587201468
"Intraception","Achievement",-0.0501586743069007
"Achievement","Intraception",-0.0501586743069007
"Intraception","Affiliation",-0.0494281892268299
"Affiliation","Intraception",-0.0494281892268299
"Heterosexuality","Exhibition",0.0427615964277222
"Exhibition","Heterosexuality",0.0427615964277222
"Nurturance","Intraception",-0.0411563083295299
"Intraception","Nurturance",-0.0411563083295299
"Change","Intraception",-0.0404421522891137
"Intraception","Change",-0.0404421522891137
"Dominance","Intraception",0.0401850093225994
"Intraception","Dominance",0.0401850093225994
"Intraception","Order",-0.0400114012067305
"Order","Intraception",-0.0400114012067305
"Change","Dominance",-0.0373123230281423
"Dominance","Change",-0.0373123230281423
"Heterosexuality","Dominance",-0.0364649380330114
"Dominance","Heterosexuality",-0.0364649380330114
"Endurance","Nurturance",-0.0349372645789086
"Nurturance","Endurance",-0.0349372645789086
"Abasement","Succorance",0.032574383886568
"Succorance","Abasement",0.032574383886568
"Heterosexuality","Affiliation",-0.0324844319009873
"Affiliation","Heterosexuality",-0.0324844319009873
"Endurance","Change",-0.0316987705843447
"Change","Endurance",-0.0316987705843447
"Endurance","Intraception",-0.0275538549940264
"Intraception","Endurance",-0.0275538549940264
"Change","Nurturance",0.0272592366291619
"Nurturance","Change",0.0272592366291619
"Dominance","Autonomy",0.0261250452451456
"Autonomy","Dominance",0.0261250452451456
"Succorance","Exhibition",-0.0160537762150956
"Exhibition","Succorance",-0.0160537762150956
"Change","Exhibition",-0.0135516019057047
"Exhibition","Change",-0.0135516019057047
"Endurance","Dominance",-0.0131118564485899
"Dominance","Endurance",-0.0131118564485899
"Abasement","Order",0.011020525210771
"Order","Abasement",0.011020525210771
"Intraception","Deference",0.00935240528255345
"Deference","Intraception",0.00935240528255345
"Abasement","Intraception",0.00577601171032724
"Intraception","Abasement",0.00577601171032724
