"Aspek","Strength","Betweenness"
"Order",3.00578403402896,0
"Aggression",2.96316381419023,0
"Endurance",2.78738235361321,3
"Heterosexuality",2.68366185863247,5
"Achievement",2.45355851570894,0
"Nurturance",2.41880967377064,0
"Succorance",2.23434988594984,3
"Autonomy",2.18067121686243,0
"Affiliation",1.95852347963742,0
"Deference",1.90280728833764,0
